Date,Day of week,Time,Track,Room,Number of talk slots in session,Session Themes,Talk 1,Talk 2,Talk 3,Talk 4,Talk 5,Talk 6,Talk 7,Talk 8,,,,,Num talks,Total talks in day,,
Aug 17,Mon,11:40 AM,3,B-2325,8,Planning and model-based RL,Biased Dreams: Limitations to Epistemic Uncertainty Quantification in Latent Space Models,Risk-Aware General-Utility Markov Decision Processes,Stable Planning through Aligned Representations in Model-Based Reinforcement Learning,Bi-Level Reinforcement Learning Pathway for Sim-to-Real Optimality,Using Common Random Numbers for Simulation-based Planning with Rollouts,Gaussian Process Aggregation for Root-Parallel Monte Carlo Tree Search with Continuous Actions,Strategically-Linked Decisions in Long-Term Planning and Reinforcement Learning,When to Plan: Learning to Select Between Reactive Control and Deliberative Planning,,,,,0,,,
Aug 17,Mon,11:40 AM,4,B-0305,8,Multi-agent RL,Centralized Adaptive Sampling for Reliable Co-training of Independent Multi-Agent Policies,Beyond Local Views: Global State Inference with Diffusion Models for Cooperative MARL,Credit Assignment and Focused Exploration for Sparse-reward Multi-agent Deep Reinforcement Learning,Multi-Agent Reinforcement Learning with Reward Machines for Mixed Cooperative-Competitive Environments,Learning Multi-Agent Communication Protocol: Study on Information Entropy Efficiency in MARL,Coordination Graphs for Constrained Multi-Agent Reinforcement Learning,The challenge of hidden gifts in multi-agent reinforcement learning,Sociodynamics of Reinforcement Learning,,,,,0,0,,
Aug 18,Tue,10:20 AM,1,B-2305,8,Theory of RL,On the Variance of Temporal Difference Learning and its Reduction Using Control Variates,Towards Formalizing Reinforcement Learning Theory: A Robbins-Siegmund Approach,Statistical Inference for Policy Evaluation with Temporal Difference Learning,Finite Time Analysis of the Natural Policy Gradient in Finite-Horizon Markov Decision Processes,Solvable models of learning to pursue a moving target,Boltzmann Rationality: An Axiomatic Characterization of Entropy-Regularized Policies,Optimal Regret for Policy Optimization in Average Reward MDPs Without Mixing,When Can Pure Exploitation Succeed in Linear RL? Decoys and Self-Identifiability for Greedy LSVI,,,,,0,,,
Aug 18,Tue,10:20 AM,2,B-0325,8,"Safe, robust, and risk-sensitive RL",On the Sample Complexity of Discounted Reinforcement Learning with Optimized Certainty Equivalents,Conformal Preemption of Failures in Sequential Decision-Making Agents,Distributionally Robust Self Paced Curriculum Reinforcement Learning,Adaptive Critic Shaping for Reinforcement Learning with Temporal Logic Constraint,Uncertainty-Aware Predictive Safety Filters for  Probabilistic Neural Network Dynamics,An Unreasonably Simple Approach to Safe Reinforcement Learning,Skill-based Safe Reinforcement Learning with Risk Planning,V-OCBF: Learning Safety Filters from Offline Data via Value-Guided Offline Control Barrier Functions,,,,,0,,,
Aug 18,Tue,10:20 AM,3,B-2325,8,Offline RL,"Yes, Q-learning Helps Offline In-Context RL",CODA: Coordination via On-Policy Diffusion for Multi-Agent Offline Reinforcement Learning,Fully Offline Reinforcement Learning,Dynamics Models for Offline Hyperparameter Selection in Real-World RL,Safe Flow Q-Learning: Offline Safe Reinforcement Learning with Reachability-Based Flow Policies,Conservative Value Priors: A Bayesian Path to Offline Reinforcement Learning,Offline RL with Hierarchical Action Chunking,{MOORL}: A Framework for Integrating Offline-Online Reinforcement Learning,,,,,0,,,
Aug 18,Tue,10:20 AM,4,B-0305,8,"Evaluation, benchmarks, and environments",Confidence Intervals for the Interquartile Mean,Synthetic Monitoring Environments for Reinforcement Learning,Memory Retention Is Not Enough to Master Memory Tasks in Reinforcement Learning,PGTG: Procedurally Generated Grid-Based Traffic Gym,Ludax: A GPU-Accelerated Description Language for Board Games,Prediction-Based Markov Violation Scores for Detecting Non-Markovian Observations in Reinforcement Learning,NutriRL: A Benchmark for Nutritional Regulation under Delayed State Transitions,Physical Atari: A Robust and Accessible Platform for Real-time Reinforcement Learning on Robots,,,,,0,,,
Aug 18,Tue,11:40 AM,1,B-2305,8,Understanding deep RL,DART: Dual Adaptive Residual Tracking for Low-Bias Advantage Estimation and Credit Assignment in AI Agents,FlowRL: A Taxonomy and Modular Framework for Reinforcement Learning with Diffusion Policies,A Simple Baseline for Learning Approximate State Abstractions in Factored State Spaces,Endpoint Replay: Compressing the Recency Buffer in Deep Reinforcement Learning,Improving Reward-Based Hindsight Credit Assignment,Unsupervised Behavioral Compression: Learning Low-Dimensional Policy Manifolds through State-Occupancy Matching,Cohering Reinforcement Learning,A Survey of State Representation Learning for Deep Reinforcement Learning,,,,,0,,,
Aug 18,Tue,11:40 AM,2,B-0325,8,RL fine-tuning of LLMs/VLMs/VLAs + Imitation learning,Temporally Extended Mixture-of-Experts Models,Simple Recipe Works: Vision-Language-Action Models are Natural Continual Learners with Reinforcement Learning,A-3PO: Accelerating Asynchronous LLM Training with Staleness-aware Proximal Policy Approximation,Scalable Causal Imitation Learning,Supervised Reward Inference,Minimal Ingredients for Reward Assignment from Expert Demonstrations,Generalize and Guide: Decomposing Rewards for Few-Shot Inverse Reinforcement Learning,Q-Based Variational Inverse Reinforcement Learning,RL fine-tuning papers are first,,,,0,,,
Aug 18,Tue,11:40 AM,3,B-2325,8,Continual RL + Streaming RL + Exploration,Extending Differential Temporal Difference Methods for Episodic Problems,Revisiting Adam for Streaming Reinforcement Learning,Forager: a lightweight testbed for continual learning with partial observability in RL,Dense and Diverse Goal Coverage in Multi Goal Reinforcement Learning,Maximum-Entropy Exploration with Future State-Action Visitation Measures,Training on Irrelevant States Implies Data Augmentation: Generalization in Contextual MDPs,Weight a moment: risk-aware exploration with Bayes,Maximum Entropy Exploration Without Rollouts,Continual and streaming RL papers are first,,,,0,,,
Aug 18,Tue,11:40 AM,4,B-0305,8,Multi-agent RL,An Agent-Centric Dynamical Systems Perspective on Multi-Agent Reinforcement Learning,ASALT: Adaptive State Alignment for Lateral Transfer in Multi-agent  Reinforcement Learning,A Causality-Inspired Spatial-Temporal Return Decomposition Approach for Multi-Agent Reinforcement Learning,SCoUT: Scalable Communication via Utility-Guided Temporal Grouping in Multi-Agent Reinforcement Learning,Decentralized Asymmetric DQN: Decentralization without Factorization in Multi-Agent Reinforcement Learning,Fixing Incomplete Value Function Decomposition for Multi-Agent Reinforcement Learning,Learning Communication Skills in Multi-task Multi-agent Deep Reinforcement Learning,ACPO: Agent-Chained Policy Optimization for Multi-Agent Reinforcement Learning,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,
