num,URL,title,abstract
27,https://openreview.net/forum?id=7Na1Nwec5D,Direct Advantage Estimation for Scalable and Sample-efficient Deep Reinforcement Learning,"Direct Advantage Estimation (DAE) has been shown to improve the sample efficiency of deep reinforcement learning algorithms.
However, its reliance on full environment observability limits its applicability in realistic settings, and its requirement to model transition probabilities incurs substantial computational overhead for high-dimensional observations.
In the present work, we address both limitations.
First, we extend the theoretical framework of DAE to partially observable domains with minimal modifications.
Second, we reduce its computational complexity by introducing discrete latent dynamics models that efficiently approximate transition probabilities.
We evaluate our approach on the Arcade Learning Environment and find that DAE scales effectively with function approximator capacity while retaining high sample efficiency."
32,https://openreview.net/forum?id=wjuZ5Qy141,From Demonstrations to Rewards: Test-Time Prompt Optimization for VLM Reward Models,"Reinforcement learning relies on accurate reward functions, which are often handcrafted or even unavailable in real-world applications, such as robotics. Recent work has explored the zero-shot reasoning capabilities of pre-trained Vision-Language Models (VLMs) as reward models. However, without careful prompt engineering, these approaches tend to produce suboptimal rewards, where false positive predictions can severely degrade downstream policy learning. In robotics, limited datasets comprising expert demonstrations are often collected to bootstrap policy learning. This scenario provides an opportunity to optimize a reward model prior policy training. We propose Demo2Reward a test-time adaptation technique to optimize the language instruction of a reward model based on a few demonstrations (3-10 trajectories) to reduce false positives while preserving true positives. Crucially, this requires no additional model training or computation resources during policy learning. We show that Demo2Reward consistently outperforms existing zero- and few-shot VLM reward models across a range of simulated robotic tasks and policy backbones. Finally, we demonstrate that Demo2Reward effectively transfers to a real-world robotic learning scenario, enabling policy learning without manually engineering a reward function."
34,https://openreview.net/forum?id=dhikQLhww1,Biased Dreams: Limitations to Epistemic Uncertainty Quantification in Latent Dynamics Models,"Model-Based Reinforcement Learning distinguishes between physical dynamics models operating on proprioceptive inputs and latent dynamics models operating on high-dimensional image observations. A prominent latent approach is the Recurrent State Space Model used in the Dreamer family. While epistemic uncertainty quantification to inform exploration and mitigate model exploitation is well established for physical dynamics models, its transfer to latent dynamics models has received limited scrutiny. We empirically demonstrate that latent transitions are biased toward well-represented regions of latent space, exhibiting an attractor behavior that can deviate from true environment dynamics. As a result, discrepancies in environment dynamics may not manifest in latent space, undermining the reliability of epistemic uncertainty estimates. Because these attractors often lie in high-reward regions, latent rollouts systematically overestimate predicted rewards. Our findings highlight key limitations of epistemic uncertainty estimation in latent dynamics models and motivate more critical evaluation of this method."
35,https://openreview.net/forum?id=C9xMOXd8Hx,Learning in Low-Dimensional Subspaces: Orthogonal Bottlenecks for Reinforcement Learning,"Deep reinforcement learning (RL) agents commonly rely on high-dimensional neural representations, despite growing evidence that task-relevant value and policy structure may be intrinsically low-dimensional. In this work, we present a simple yet effective representation-level prior that inserts a fixed orthonormal projection to constrain encoder features to a low-dimensional subspace, requiring no auxiliary objectives, pretraining, or changes to the underlying RL algorithm. Under a linear realizability assumption, we prove that when the bottleneck dimension exceeds the intrinsic rank of the optimal value function in feature space, the bottleneck preserves expressivity and leaves the induced gradient dynamics unchanged up to an equivalent low-dimensional parameterization. Empirically, we find that across both single and multi-task benchmarks, baseline performance is either matched or improved once the bottleneck dimension exceeds a small task-dependent threshold; in many cases, value representations can be compressed to extremely low dimensions without loss, and the minimal sufficient dimension depends far more on environment complexity than encoder width. In addition, we analyze representation geometry and find that orthogonal bottlenecks stabilize feature norms and are associated with higher effective rank. Together, these results support a representation-space interpretation of the manifold hypothesis in reinforcement learning and position orthogonal bottlenecks as a lightweight, architecture-agnostic mechanism for shaping RL representations."
40,https://openreview.net/forum?id=46FRkrtktB,CODA: Coordination via On-Policy Diffusion for Multi-Agent Offline Reinforcement Learning,"Offline multi-agent reinforcement learning (MARL) enables policy learning from fixed datasets, but is prone to $\textbf{coordination failure}$: agents trained on static, off-policy data converge to suboptimal joint behaviours because they cannot co-adapt as their policies change. We introduce $\textbf{CODA}$ ($\textbf{C}$oordination via $\textbf{O}$n-policy $\textbf{D}$iffusion for Multi-$\textbf{A}$gent Reinforcement Learning), a diffusion-based multi-agent trajectory generator for data augmentation that samples conditioned on the current joint policy, producing synthetic experience that better matches the evolving behaviours the agents induce during learning. We find that previous diffusion-based augmentation approaches are insufficient for fostering multi-agent coordination because they produce static augmented datasets that do not evolve as the current joint policy changes during training; CODA resolves this by more closely simulating on-policy learning and is a meaningful step toward coordinated behaviours in the offline setting. CODA is algorithm-agnostic and can be layered onto both model-free and model-based offline reinforcement learning pipelines as an augmentation module. Empirically, CODA not only resolves canonical coordination pathologies in continuous polynomial games but also delivers strong results on the more complex MaMuJoCo continuous-control benchmarks. These findings establish policy-conditioned generative modelling as a practical solution to coordination challenges in offline MARL."
44,https://openreview.net/forum?id=24csPu2Gtq,Repetition as Reinforcement: Enhancing Sample Efficiency via Instant Episode Repetition in Reinforcement Learning,"Repetition is a fundamental mechanism in human learning, where revisiting successful experiences strengthens memory, consolidates skills, and improves future performance. Motivated by this biological principle, we introduce a simple novel mechanism, Instant Episode Repetition (IER), which actively repeats successful episodes in real time, thereby improving sample efficiency. Unlike conventional approaches such as Prioritized Experience Replay (PER) and Self-Imitation Learning (SIL), which passively reuse high-return trajectories during training, IER directly influences the data collection process. Upon identifying a high-reward episode, the agent immediately re-executes the same sequence of actions for a fixed number of repetitions, reinforcing valuable behaviors through immediate re-experience. We integrate IER into state-of-the-art SAC and TD3 algorithms and evaluate its effectiveness on continuous control benchmarks, including MuJoCo, the DeepMind Control Suite, and a real-world dynamic object translation task with a robotic manipulator. Experimental results demonstrate that this simple mechanism improves learning performance over standard and self-imitation-based baselines."
45,https://openreview.net/forum?id=CbBPMYFKss,Risk-Aware General-Utility Markov Decision Processes,"We study general-utility Markov decision processes (GUMDPs) with risk-aware objectives. In this framework, an agent aims to optimize a risk measure of the distribution of objective values, where the objective function depends on the frequency of visitation of states induced by the agent's policy. First, we motivate, propose, and formalize risk-aware GUMDPs, which enable agents and decision makers to trade off expected performance by risk aversion while benefiting from the rich set of objectives that can be cast under the framework of GUMDPs. We focus our attention on the entropic risk measure (ERM). Second, we show how we can solve risk-aware GUMDPs with ERM objectives by resorting to online planning techniques. In particular, we propose an approach based on Monte Carlo Tree Search (MCTS) to provably solve risk-aware GUMDPs up to any desired accuracy. Third, we provide a set of experimental results showcasing that our approach is successful when optimizing for a spectrum of risk-aware behaviors in the context of GUMDPs under diverse tasks (standard MDPs, maximum state entropy exploration, imitation learning, and multi-objective MDPs)."
46,https://openreview.net/forum?id=S5UvdECmY7,The Yokai Learning Environment: Tracking Beliefs Over Space and Time,"The ability to cooperate with unknown partners is a central challenge in cooperative AI and widely studied in the form of zero-shot coordination (ZSC) which evaluates an algorithm by measuring the performance of independently trained agents when paired.
The Hanabi Learning Environment (HLE) has become the dominant benchmark for ZSC, but recent work has achieved near-perfect inter-seed cross-play performance, limiting its ability to track algorithmic progress.
We introduce the Yokai Learning Environment (YLE) - an open-source multi-agent RL benchmark in which effective collaboration requires building common ground by tracking and updating beliefs over moving cards, reasoning under ambiguous hints, and deciding when to terminate the game based on inferred shared knowledge - features absent in the HLE, where beliefs are tied to hand slots and hints are truthful by rule.
We evaluate the leading ZSC methods, including High-Entropy IPPO, Other-Play, and Off-Belief Learning, which achieve near-perfect inter-seed cross-play in the HLE, and show that in the YLE they exhibit persistent SP–XP gaps, degraded early-ending calibration, and weaker belief representations in cross-play, indicating failure to maintain consistent internal models with unseen partners.
Methods that perform best in the HLE do not perform best in the YLE, indicating that progress measured on a single benchmark may not generalise.
Together, these results establish YLE as a challenging new ZSC benchmark."
47,https://openreview.net/forum?id=NhvljoFLJn,Preventing Learning Stagnation in PPO by Scaling to 1 Million Parallel Environments,"Plateaus, where an agent's performance stagnates at a suboptimal level, are a common problem in deep on-policy RL algorithms.
Focusing on PPO due to its widespread adoption, we show that plateaus in certain regimes arise not because of known exploration, capacity, or optimization challenges, but because sample-based estimates of the loss eventually become poor proxies for the true objective over the course of training. 
As a recap, PPO switches between sampling rollouts from several parallel environments *online* using the current policy (which we call the ""outer loop"") and performing repeated minibatch SGD steps against this *offline* dataset (the ""inner loop""). 
In our work we consider only the outer loop, and conceptually model it as standard stochastic optimization. The step size is then controlled by the regularization strength towards the previous policy and the gradient noise by the number of samples collected between policy update steps. 
This model predicts that performance will plateau at a suboptimal level if the outer step size is too large relative to the noise. Recasting PPO in this light makes it clear that there are two ways to address this particular type of learning stagnation: either reduce the step size or increase the number of samples collected between updates. 
We first validate the predictions of our model and investigate how hyperparameter choices influence the step size and update noise, concluding that increasing the number of parallel environments is a simple and robust way to reduce both factors.
Next, we propose a recipe for how to co-scale the other hyperparameters when increasing parallelization, and show that incorrectly doing so can lead to severe performance degradation.
Finally, we vastly outperform prior baselines in a complex open-ended domain by scaling PPO to more than 1M parallel environments, thereby enabling monotonic performance improvement up to one trillion transitions."
48,https://openreview.net/forum?id=tMtM8tXkS3,Stable Planning through Aligned Representations in Model-Based Reinforcement Learning,"World models that reliably predict state transitions can facilitate the integration of planning with reinforcement learning to solve sparse-reward, long-horizon sequential decision-making problems. However, enabling such learned world models to generalize to noise for which the underlying Markov decision process is invariant (e.g. lighting variations, blurring, rotations, etc.) requires training the world model on a dataset with such noise. Unfortunately, this does not explicitly capture these invariances and requires that the world model, and any functions trained with data generated from it, be re-trained if it fails to generalize to new kinds of noise. To solve this problem, we introduce Stable Planning through Aligned Representations (SPAR), an algorithm that explicitly captures invariances by training an alignment network to map noisy states to the latent representation of clean states while keeping the learned world model fixed. SPAR first trains a world model with a discrete latent space on clean states. SPAR then trains an alignment network to map noisy states to the same latent representation as the clean states, exploiting the discrete latent structure by rounding the output of the alignment network after training so that it exactly matches the clean latent representation. As a result, SPAR preserves the ability to use a discrete world model across thousands of timesteps without accumulating any error by rounding the predicted discrete latent states. Our experiments show that SPAR can be used to successfully solve over 89% of problems from the Rubik's cube and Sokoban domains with 17 different visual transformations. Furthermore, SPAR can be used to solve the Rubik's cube based on real-world pictures taken by a phone, without ever having seen real-world Rubik's cubes during training. Our experiments show that continuous representations lead to model degradation, indicating that the discrete latent component is crucial to SPAR's success."
50,https://openreview.net/forum?id=YZTn61HGVU,Delightful Policy Gradient,"In deep learning, optimizers often limit effective step size through normalization or clipping, making update direction the key determinant of learning progress.
Policy gradients scale each per-sample gradient term by an advantage estimate regardless of the action's probability: a rare action with large negative advantage can disproportionately influence the minibatch direction, even when the policy assigns it low mass.
We introduce the \textit{Delightful Policy Gradient} (DG), which gates each per-sample term with a sigmoid of \emph{delight}, the product of advantage and the action's surprisal (negative log-probability).
In tabular settings, we identify two mechanisms that improve learning.
First, DG suppresses gradient variance from rare negative-advantage actions, improving directional accuracy.
Second, when many decisions are trained jointly, it rebalances the expected gradient toward hard decisions, improving long-run progress.
Both effects grow with the size of the state and action spaces.
Empirically, DG outperforms REINFORCE, PPO, and advantage-weighted baselines across MNIST, transformer sequence modelling, and continuous control, with a single temperature $\eta = 1$ across all experiments, and with larger gains on harder tasks."
56,https://openreview.net/forum?id=qrZuf5k3dX,The Cell Must Go On: Agar.io for Continual Reinforcement Learning,"Continual reinforcement learning (RL) concerns agents that are expected to learn continually, rather than converge to a policy that is then fixed for evaluation. This setting is well-suited to environments that the agent perceives as \textit{changing} over time, rendering any static policy ineffective. In continual RL, researchers often simulate such changes either by modifying episodic environments to incorporate task shifts during interaction or by designing simulators that explicitly model continual dynamics. However, transforming episodic problems into continual ones primarily captures scenarios involving abrupt changes in the data stream and still relies on episodic structure. Meanwhile, the few simulators explicitly designed for empirical continual RL research are often limited in scope or complexity. In this paper, we introduce AgarCL, a research platform for continual RL that enables agents to progress toward increasingly sophisticated behaviour. AgarCL is based on the game Agar.io, a non-episodic, high-dimensional problem with stochastic, ever-evolving dynamics, continuous actions, and partial observability. We provide benchmark results for DQN, PPO, and SAC on the primary continual RL challenge, as well as across a suite of smaller tasks within AgarCL. These smaller tasks isolate aspects of the full environment and allow us to characterize the distinct challenges posed by different components of the game. We further evaluate three continual learning methods—Shrink and Perturb, ReDo, and Continual Backpropagation—and observe little improvement over standard RL algorithms, suggesting that the challenges posed by AgarCL extend beyond the stability–plasticity dilemma."
61,https://openreview.net/forum?id=EK6T83MVsr,Momba: Network Modernization Improves Multi-Objective Reinforcement Learning,"Recent advances in deep reinforcement learning (RL) have shown that improving neural network architectures can yield substantial gains in sample efficiency and asymptotic performance without altering the underlying algorithms. In contrast, work on multi-objective reinforcement learning (MORL), which aims to discover a set of policies that balance trade-offs among conflicting objectives, has predominantly focused on algorithmic innovations, leaving the area of architectures underexplored. While the optimal policies and value functions can differ significantly depending on the trade-offs, MORL algorithms commonly represent them with simple feedforward networks conditioned on the trade-off. This raises the question of whether the performance of the algorithms could be improved with more expressive function approximators. In this paper, we integrate recent advances in neural network design: (i) observation and feature normalization, (ii) weight normalization, and (iii) modeling of distributional returns with an entropy-regularized MORL algorithm. The empirical results across standard continuous control benchmarks demonstrate that these changes substantially improve the quality of the produced solution sets without requiring major changes to the underlying algorithm."
65,https://openreview.net/forum?id=rbMJa2VJLl,ICPL: Few-shot In-context Preference Learning via LLMs,"Preference-based reinforcement learning is an effective way to handle tasks where rewards are hard to specify but can be exceedingly inefficient as preference learning is often tabula rasa. 
To address this challenge,
we propose In-Context Preference Learning (ICPL), which uses in-context learning capabilities of LLMs to reduce human query inefficiency.
ICPL uses the task description and basic environment code to create sets of reward functions which are iteratively refined by placing human feedback over videos of the resultant policies into the context of an LLM and then requesting better rewards.
We first demonstrate ICPL’s effectiveness through a synthetic preference study, providing quantitative evidence that it significantly outperforms baseline preference-based methods with much higher performance and orders of magnitude greater efficiency. We observe that these improvements are not solely coming from LLM grounding in the task but also the quality of the rewards improvement via preference feedback.
Additionally, we perform a series of real human preference-learning trials and observe that ICPL extends beyond synthetic settings and can work effectively with humans-in-the-loop."
68,https://openreview.net/forum?id=S1CWABrBzp,Natural Policy Gradient for Bayesian Network Policies in Markov Potential Games,"We study natural policy gradient (NPG) with Bayesian network (BN) policies in Markov potential games (MPGs) under softmax parameterization. BN policies represent correlated joint policies via a directed acyclic graph, generalizing the independent (product) policies used in prior work. We prove that BN-NPG converges to near-Nash policies at an $O(1/K)$ rate averaged over $K$ iterations for any fixed DAG, and that for fully connected BN policies, every near-Nash policy is also near-optimal, recovering the global optimality guarantee of single-agent NPG. Unlike product policies, BN policies condition each agent's action on parent actions, requiring sufficient exploration over all parent-action profiles. We impose this as an assumption in the unregularized setting, and then remove it by designing a log-barrier regularizer, weighted by the frequency of encountering each parent-action profile under the current policy, that provably maintains exploration throughout training. We further extend these results to partially observable settings with factored state spaces, where each agent observes only its local state."
69,https://openreview.net/forum?id=9aTDoQ3Qy1,Gradient Iterated Temporal-Difference Learning,"Temporal-difference (TD) learning is highly effective at controlling and evaluating an agent's long-term outcomes. Most approaches in this paradigm implement a semi-gradient update to boost the learning speed, which consists of ignoring the gradient of the bootstrapped estimate. While popular, this type of update is prone to divergence, as Baird's counterexample illustrates. Gradient TD methods were introduced to overcome this issue, but have not been widely used, potentially due to issues with learning speed compared to semi-gradient methods. Recently, iterated TD learning was developed to increase the learning speed of TD methods. For that, it learns a sequence of action-value functions in parallel, where each function is optimized to represent the application of the Bellman operator over the previous function in the sequence. While promising, this algorithm can be unstable due to its semi-gradient nature, as each function tracks a moving target. In this work, we modify iterated TD learning by computing the gradients over those moving targets, aiming to build a powerful gradient TD method that competes with semi-gradient methods. Our evaluation reveals that this algorithm, called Gradient Iterated Temporal-Difference learning, has a competitive learning speed against semi-gradient methods across various benchmarks, including Atari games, a result that no prior work on gradient TD methods has demonstrated."
70,https://openreview.net/forum?id=yOfuoXQGw0,Confidence Intervals for the Interquartile Mean,"The interquartile mean (IQM) is increasingly used for evaluating reinforcement learning (RL) algorithms and is typically reported with confidence intervals. Despite its widespread use in RL, the IQM is still generally discussed as a sample statistic (like the sample mean), rather than as a parameter of a distribution (like the mean). We show how the IQM can be defined as a parameter of a distribution and justify this definition. In RL, researchers typically use the percentile bootstrap method to obtain confidence intervals for the IQM. However, percentile bootstrap confidence intervals lack guaranteed coverage, meaning that these intervals may fail to contain the IQM more often than expected. As our primary contribution, we derive confidence intervals for the IQM that have guaranteed coverage, which, to our knowledge, is not provided by previous methods."
76,https://openreview.net/forum?id=zSYHRpmM7a,Temporally Extended Mixture-of-Experts Models,"Mixture-of-Experts (MoE) layers scale model capacity by activating only a sparse subset of expert networks per token. But their routers often switch experts at nearly every step in a rollout. This forecloses memory optimizations, like offloading, once expert counts outgrow GPU capacity. We make the case that this problem is extremely well suited to the options framework with deliberation costs, and argue for temporally extended MoE layers. We create a new way to equip each layer with a lightweight controller that learns when to switch expert sets and which to load. By applying this framework to gpt-oss-20b with low-rank adapters and a self-distillation reward, our method reduces switch rates from over 50\% to below 5\% while retaining up to 90\% of base-model accuracy on MATH, MMLU, and MMMLU. 
This shows the surprising viability of the approach. Even existing pre-trained models can be converted to temporally extended MoEs with lightweight training. Temporally extended routing is possible and trade-offs can be governed by deliberation costs. We hope this opens a principled path, grounded in the options framework, for memory-efficient serving and continual learning for ever-growing MoE models."
82,https://openreview.net/forum?id=PEft6HmayU,Synthetic Monitoring Environments for Reinforcement Learning,"Reinforcement Learning (RL) lacks benchmarks that provide precise, white-box diagnostics of agent behavior. Current environments often entangle complexity factors and lack ground-truth optimality metrics, making it difficult to isolate why algorithms fail. We introduce Synthetic Monitoring Environments (SMEs), an infinite suite of continuous control tasks. SMEs provide fully configurable task characteristics and known optimal policies. As such, SMEs allow for the exact calculation of instantaneous regret. Their rigorous geometric state space bounds allow for systematic within-distribution (WD) and out-of-distribution (OOD) evaluation. We demonstrate the framework’s benefit through multidimensional ablations of PPO, TD3, and SAC, revealing how specific environmental properties - such as action or state space size, reward sparsity and complexity of the optimal policy - impact WD and OOD performance. We thereby show that SMEs offer a standardized, transparent testbed for transitioning RL evaluation from empirical benchmarking toward rigorous scientific analysis."
85,https://openreview.net/forum?id=WK4ZpJtIvg,Memory Retention Is Not Enough to Master Memory Tasks in Reinforcement Learning,"Effective decision-making in the real world depends on memory that is both stable and adaptive: environments change over time, and agents must retain relevant information over long horizons while also updating or overwriting outdated content when circumstances shift. 
Existing Reinforcement Learning (RL) benchmarks and memory-augmented agents focus primarily on retention, leaving the equally critical ability of memory rewriting largely unexplored. 
To address this gap, we introduce a benchmark that explicitly tests continual memory updating under partial observability, i.e. the natural setting where an agent must rely on memory rather than current observations, and use it to compare recurrent, transformer-based, and structured memory architectures. 
Our experiments reveal that classic recurrent models, despite their simplicity, demonstrate greater flexibility and robustness in memory rewriting tasks than modern structured memories, which succeed only under narrow conditions, and transformer-based agents, which often fail beyond trivial retention cases. 
These findings expose a fundamental limitation of current approaches and emphasize the necessity of memory mechanisms that balance stable retention with adaptive updating. 
Our work highlights this overlooked challenge, introduces benchmarks to evaluate it, and offers insights for designing future RL agents with explicit and trainable forgetting mechanisms."
86,https://openreview.net/forum?id=wmAyOgzNh7,PGTG: Procedurally Generated Grid-Based Traffic Gym,"We present Procedurally Generated Grid-Based Traffic Gym (PGTG), a Gymnasium-compliant feature-rich, extensible, and customizable reinforcement learning benchmark. PGTG requires an agent to navigate procedurally generated tracks while having to manage momentum and being exposed to various stochastic obstacles and the unpredictable behavior of traffic participants. By providing fine-grained control over the map generation, traffic rules, obstacles, and the observation and reward functions, PGTG is a versatile benchmark for various reinforcement subfields, such as exploration, safety, and generalization. For instance, PGTG allows to decouple safety from exploration by including subgoals with intermediate rewards. In this paper, we detail the benchmark’s modular design philosophy and provide a comprehensive empirical evaluation using state-of-the-art deep reinforcement learning baselines, highlighting PGTG’s complexity and utility for future research."
